도로코드,도로명,도로분류그룹코드,도로분류그룹코드명,도로구분코드,도로구분명,도로순서,도로폭,차선수,소통제공여부,사용여부,도로거리
247,서울시립대로,01,기본도로,04,보조간선도로,,,6,,Y,1521
248,제1순환고속도로,04,기타도로,06,경기도로,,,,,Y,
249,서울춘천고속도로,04,기타도로,06,경기도로,,,,,Y,
255,석계로1길,01,기본도로,05,기타도로,,,2,,Y,768
259,선유서로,01,기본도로,05,기타도로,,,2,,Y,1115
262,성남대로,04,기타도로,06,경기도로,,,,,Y,
270,성안로,01,기본도로,05,기타도로,,,4,,Y,2429
274,세종대로,01,기본도로,03,주간선도로,,,11,,Y,2136
276,세종대로20길,01,기본도로,05,기타도로,,,3,,Y,185
281,소월로3길,01,기본도로,05,기타도로,,,8,,Y,313
286,송이로,01,기본도로,05,기타도로,,,4,,Y,2582
291,수락산로,01,기본도로,05,기타도로,,,4,,Y,2583
297,신길로,01,기본도로,04,보조간선도로,,,4,,Y,3016
305,신이문로,01,기본도로,05,기타도로,,,2,,Y,468
307,신정중앙로,01,기본도로,05,기타도로,,,4,,Y,1152
312,쑥고개로,01,기본도로,04,보조간선도로,,,4,,Y,1425
316,아리수로82길,01,기본도로,05,기타도로,,,2,,N,506
322,약령시로,01,기본도로,05,기타도로,,,4,,Y,1691
328,양재대로156길,01,기본도로,05,기타도로,,,2,,Y,705
336,양천로61길,01,기본도로,05,기타도로,,,4,,Y,297
340,여의나루로,01,기본도로,05,기타도로,,,6,,Y,1341
344,여의서로,01,기본도로,04,보조간선도로,,,4,,Y,3120
349,연서로48길,01,기본도로,05,기타도로,,,,,N,937
350,연세로,01,기본도로,05,기타도로,,,4,,Y,540
352,연희맛로,01,기본도로,05,기타도로,,,2,,Y,1364
353,영동고속도로,04,기타도로,06,경기도로,,,,,Y,
362,오패산로,01,기본도로,04,보조간선도로,,,4,,Y,4220
3,가로공원로,01,기본도로,04,보조간선도로,,,6,,Y,1884
10,가좌로,01,기본도로,04,보조간선도로,,,4,,Y,3429
12,강남대로,01,기본도로,03,주간선도로,,,10,,Y,7797
15,강변역로,01,기본도로,05,기타도로,,,6,,Y,747
16,강변역로4길,01,기본도로,05,기타도로,,,6,,Y,276
29,경춘북로,01,기본도로,04,보조간선도로,,,4,,Y,604
33,고덕로61길,01,기본도로,05,기타도로,,,4,,Y,812
38,고척로,01,기본도로,05,기타도로,,,4,,Y,2471
43,공항대로41길,01,기본도로,05,기타도로,,,4,,Y,813
49,광운로,01,기본도로,05,기타도로,,,4,,Y,1544
50,광평로,01,기본도로,03,주간선도로,,,8,,Y,3435
